Year,Universal_health_coverage_service_coverage_index
2000,84
2001,85
2002,85
2003,86
2004,86
2005,86
2006,86
2007,87
2008,87
2009,87
2010,88
2011,88
2012,89
2013,89
2014,89
2015,89
2016,89
2017,89
2018,89
2019,89
2020,89
2021,89
2022,89
2023,89
